name;variation_type;variant;category;brand;reference;barcode;description;description_on_invoice;price;price_supplier;unity;control_stock;vat;vat_isention;vat_isention_norm;product_type;class_;merceria_nortenha;stock_merceria_nortenha;profit_margin;image
Macedonia 300g;;;CONGELADOS LEGUMES;Gelcampo;VMAC122-24030115;5602003000572;;Não;0,4900;0,3500;Uni;Sim;6;;;P;ALI;S;0,0000;32.08;
Ervilhas 400g;;;CONGELADOS LEGUMES;Frip;VERV123-24030179;5601315010019;;Não;0,8014;0,6300;Uni;Sim;6;;;P;ALI;S;8,0000;20.01;
Peito de Frango p/ Forno;;;CONGELADOS CARNE;Fripozo;VPEI124-24030155;8420321074252;;Não;7,5909;4,7400;Uni;Sim;23;;;P;ALI;S;1,0000;30.20;
Nuggets Frango;;;CONGELADOS CARNE;Fripozo;VNUG125-24030179;8420321692760;;Não;2,5900;1,6100;Uni;Sim;23;;;P;ALI;S;2,0000;30.79;
Hamburgers Novilho;;;CONGELADOS CARNE;Pescanova;VHAM126-24030153;8410063010502;;Não;3,5300;2,5600;Uni;Sim;6;;;P;ALI;S;1,0000;30.09;
Hamburgers de Frango 340g;;;CONGELADOS CARNE;Eurofrits;VHAM127-24030152;8427318356001;;Não;2,9500;1,8500;Uni;Sim;23;;;P;ALI;S;3,0000;29.64;
Ameijoa Branca Viet.;;;CONGELADOS PEIXE;Greensea;VAME128-24030164;5605598810465;;Não;2,6900;1,9500;Uni;Sim;6;;;P;ALI;S;4,0000;30.14;
Delicias Mar s/ gluten;;;CONGELADOS PEIXE;TELBAC;VDEL129-24030149;5601736910714;;Não;1,1300;0,8200;Uni;Sim;6;;;P;ALI;S;6,0000;30.00;
Bolinhas de Alheira;;;CONGELADOS CARNE;Basmar;VBOL130-24030133;5606669253150;;Não;4,4500;2,7800;Uni;Sim;23;;;P;ALI;S;6,0000;30.14;
Caprichos Mar 250g;;;CONGELADOS PEIXE;Basmar;Basmar 250g;5606669000020;;Não;1,9911;1,1400;Uni;Sim;23;;;P;ALI;S;6,0000;42.00;
Pizza 4 Queijos;;;CONGELADOS CARNE;Fripozo;VPIZ132-24030114;8420321679112;;Não;3,6500;2,2800;Uni;Sim;23;;;P;ALI;S;5,0000;30.15;
Pizza Queijo/Fiambre;;;CONGELADOS CARNE;Fripozo;VPIZ133-24030126;8420321679211;;Não;3,6500;2,2800;Uni;Sim;23;;;P;ALI;S;3,0000;30.15;
Lasanhas Bolonhesa 300g;;;CONGELADOS CARNE;Fripozo;VLAS134-24030179;8420321692333;;Não;2,2900;1,4300;Uni;Sim;23;;;P;ALI;S;4,0000;30.20;
Bacalhau c/ Natas;;;CONGELADOS CARNE;Pascoal;VBAC135-24030197;5602312501050;;Não;3,9500;2,4700;Uni;Sim;23;;;P;ALI;S;3,0000;30.02;
Douradinhos Pescada s/gluten;;;CONGELADOS PEIXE;Pescanova;VDOU136-24030121;8410063087887;;Não;3,1900;2,3200;Uni;Sim;6;;;P;ALI;S;10,0000;29.72;
Iogurte Aroma Banana  Agros;;;IOGURTES;Agros;4x120g;5603722517693;;Não;0,8957;0,6500;Uni;Sim;6;;;P;ALI;S;1,0000;30.00;
Iogurte Aroma Ananás 4x120g Duplicado;;;IOGURTES;Agros;VIOG138-24030255;5603722517679;;Não;0,8957;0,6500;Uni;Sim;6;;;P;ALI;S;-2,0000;30.00;
Iogurte Aroma Morango 4x120g;;;IOGURTES;Agros;Agros M. 4 x120g;5603722517730;;Não;0,8957;0,6500;Uni;Sim;6;;;P;ALI;S;-4,0000;30.00;
Iogurte Aroma Natural 4x120g;;;IOGURTES;Agros;Agros N. 4 x120g;5603722518362;;Não;1,1989;0,8700;Uni;Sim;6;;;P;ALI;S;-1,0000;30.00;
Iogurte Aroma Coco 4x120g;;;IOGURTES;Agros;Agros C. 4 x120g;5603722517716;;Não;0,8957;0,6500;Uni;Sim;6;;;P;ALI;S;-4,0000;30.00;
Iogurte Aroma Tutti Fruti 4x120g;;;IOGURTES;Agros;Agros T. 4 x120g;5603722517754;;Não;0,8957;0,6500;Uni;Sim;6;;;P;ALI;S;-5,0000;30.00;
Iogurte Liq. Morango 4x;;;IOGURTES;Mimosa;VIOG143-24030281;5603722521539;;Não;1,4000;1,1500;Uni;Sim;6;;;P;ALI;S;-3,0000;14.85;
Iogurte Liq. Ananas 4x;;;IOGURTES;Agros;Agros A. 4 x120g;5603722521553;;Não;1,4019;1,1500;Uni;Sim;6;;;P;ALI;S;-1,0000;15.00;
Iogurte Liq. Frutos Tropicais 4x;;;IOGURTES;Agros;Agros  4 x;5603722521560;;Não;1,4000;1,1500;Uni;Sim;6;;;P;ALI;S;-2,0000;14.85;
Coca Cola  1.5 L;;;BEBIDAS S/ ALCOOL;Socorama;Coca Cola  1.5 L;5449000051981;;Não;1,9900;1,3600;Uni;Sim;23;;;P;;S;40,0000;18.96;https://www.vendus.pt/foto/fc829f3b7c31368d98fb8642b5a6f1ee.jpg
Coca Cola  Lata;;;BEBIDAS S/ ALCOOL;Socorama;VCOC147-24030215;5000112541007;;Não;0,9900;0,6200;Uni;Sim;23;;;P;;S;26,0000;29.82;https://www.vendus.pt/foto/70fc28a397da1409deee54ad49e41589.jpg
Coca Cola ZERO;;;BEBIDAS S/ ALCOOL;Socorama;VCOC148-24030210;5449000133328;;Não;1,4981;1,1600;Uni;Sim;23;;;P;;S;8,0000;5.00;https://www.vendus.pt/foto/65996e2a5cd2c3dbf1e3b639a07ceb39.jpg
